method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.3)",0.0739191323518753,0.07584620267152786,0.0960531234741211,0.49766626954078674,0.15004730224609375,0.04744315147399902,0.1479712724685669,0.10829926282167435,0.14797116816043854,0.6714966893196106
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.3)",0.04178197309374809,0.09655316919088364,0.08369198441505432,0.4948910176753998,0.1358044147491455,0.14164316654205322,0.1413205862045288,0.13872377574443817,0.14132054150104523,0.6466409862041473
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.7, 0.3)",0.06444297730922699,0.04911016672849655,0.0737815871834755,0.48327404260635376,0.1976383924484253,0.1470930576324463,0.1642822027206421,0.17236574739217758,0.16428223252296448,0.6827325820922852
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.6)",0.05651707202196121,0.0365406833589077,0.07233124226331711,0.3455309122800827,0.2641797661781311,0.20280563831329346,0.09150958061218262,0.23349269479513168,0.09150947630405426,0.5947850346565247
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.6)",0.04444738104939461,0.05621728673577309,0.047610968351364136,0.33937861025333405,0.252213716506958,0.14229750633239746,0.09728610515594482,0.19725555926561356,0.09728612005710602,0.6061118543148041
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.6)",0.022046836093068123,0.047033026814460754,0.04198780655860901,0.34604232013225555,0.24627292156219482,0.1967834234237671,0.08032810688018799,0.22152820974588394,0.08032810688018799,0.6213584542274475
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.7, 0.6)",0.0672561377286911,0.050664179027080536,0.05799991264939308,0.3499658405780792,0.2070685625076294,0.19981849193572998,0.12469124794006348,0.20344345271587372,0.1246911883354187,0.617340624332428
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.6)",0.046435728669166565,0.0471171997487545,0.06644277274608612,0.3721885085105896,0.2612038850784302,0.1943056583404541,0.15069794654846191,0.22775481641292572,0.15069790184497833,0.6036674976348877
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.6)",0.026441344991326332,0.06657526642084122,0.0674285739660263,0.3643531799316406,0.18875908851623535,0.19638633728027344,0.0505748987197876,0.19257274270057678,0.0678953304886818,0.5978782773017883
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.6)",0.05523324012756348,0.06107234209775925,0.03783099725842476,0.3595830798149109,0.189039945602417,0.20229244232177734,0.1266021728515625,0.1956661194562912,0.1266021728515625,0.6042393445968628
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.7, 0.6)",0.060574281960725784,0.040830954909324646,0.07389311492443085,0.3880241811275482,0.25445330142974854,0.19003832340240479,0.13846349716186523,0.22224582731723785,0.13846339285373688,0.6240594983100891
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.6)",0.04714205861091614,0.03406350314617157,0.0544864721596241,0.41171300411224365,0.15583300590515137,0.13854765892028809,0.08511686325073242,0.14719034731388092,0.08511698246002197,0.6260788142681122
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.7, 0.6)",0.05202801525592804,0.04220995306968689,0.06687682121992111,0.41539283096790314,0.23064947128295898,0.20965158939361572,0.08327627182006836,0.22015050798654556,0.08327625691890717,0.625676155090332
